n,false_positive,false_negative,accuracy
n,false_positive,false_negative,accuracy
n,false_positive,false_negative,accuracy
n,false_positive,false_negative,accuracy
20,.06,.11,.81
40,.05,.02,.92
60,.06,.06,.86
80,.06,.04,.88
n,false_positive,false_negative,accuracy
20,.04,.06,.88
40,.05,.07,.86
60,.02,.11,.86
80,.04,.02,.93
n,false_positive,false_negative,accuracy
20,.09,.12,.77
40,.06,.04,.88
60,.02,.02,.95
80,.02,.06,.90
